School-High,School-Elementary,School-Alternative,School-Junior High/Middle,School-College or University,School-K-12,School-Other Facility
Tahoma High,Glacier Park,Phoenix Academy,Cedar Heights,GRC,Muckleshoot Tribal,Admin
Roosevelt,Laurelhurst,Ida B. Wells ,Nathan Eckstein,UW,Bush,Stadium/Athletic Office
Eastside Catholic,Rachel Carson,Renaissance,Inglewood,Lake Washington IT,Bear Creek,Admin
Thomas Jefferson,Evergreen Heights,Open Doors,Kilo,Green R Coll - Auburn,Internet Academy,Admin
South Lake,Graham Hill,Orca,Aki Kurose,SSC Georgetown,Renton Christian,Admin
Foster,Hilltop,Arts & Academics Academy,Showalter,SSC Georgetown,Seattle Christian,Admin
Mercer Island,St. Monica,FASPS,Risdon,Bellevue College,Bush,Admin
Chief Sealth,Arbor Heights,Arts & Academics Academy,Exlplorer West,South Seattle College,Seattle Christian,Highline Arts
Franklin,Thurgood Marshall,HRS,Seattle Girls,Seattle U,Bush,John Stanford Center
Ingraham,Christ the King,Licton Springs,Whitman,North Seattle College,Shoreline Christian,Shoreline Childrens Center
Skyline,Sunny Hills,Renaissance,Pine Lake,Bellevue College,Bear Creek,Admin
Mount Rainier,Midway,ACE,Pacific,Highline College,Mountain View,Transportation
Bothell,Saint Brendan,Soreson,Kenmore Jr High,Cascadia,Woodinville Montessori,Aldercrest Learning Center
Kent-Meridian,Scenic Hill,Phoenix Academy,Mill Creek,GRC,Mountain View,Admin
Tahoma High,Rock Creek,Phoenix Academy,Summit Trail,GRC,Muckleshoot Tribal,Admin
Chief Sealth,Westside,Arts & Academics Academy,Exlplorer West,South Seattle College,Seattle Christian,Highline Arts
Cedarcrest,Laura Ingalls Wilder,Overlake,Evergreen,Lake Washington IT,Bear Creek,Admin
Decatur,Brigadoon,Federal Way Public Academy,TAFA at Saghalie,Green R Coll - Auburn,Christian Faith,Admin
Kentridge,Panther Lake,Phoenix Academy,Mill Creek,GRC,Mountain View,Admin
Redmond High,Rosa Parks,Explorer Community,Evergreen,Lake Washington IT,Bear Creek,Admin
Highline,Gregory Heights,Big Picture,Sylvester,Highline College,Seattle Christian,Admin
Hazen,Newcastle,Jing Mei,McKnight,Renton Tech,Renton Christian,Transportation/Maintenance
Decatur,Silver Lake,Federal Way Public Academy,Lakota,Green R Coll - Auburn,Christian Faith,Admin
Mount Si ,Fall City ,Riverview,Chief Kanim,Lake Washington IT,Bear Creek,Echo Glen
Franklin,Dearborn Park Intl,Grover Cleveland,Asa Mercer,SSC Georgetown,Bush,John Stanford Center
Adventist Academy,Cherry Crest,Emerson K-12,Rose Hill Middle,Northwest University,Bush,Admin
Tahoma High,Glacier Park,Phoenix Academy,Summit Trail,GRC,Muckleshoot Tribal,Admin
Garfield,Madrona ,Seattle World,LWGMS,Seattle U,Bush,Stadium/Athletic Office
Cedarcrest,East Ridge,Eagle Rock,Timbercrest,UW Bothell,Chrysalis,Support Service Center
Federal Way,Nautilus K-8,Truman Campus,Sacajawea,Highline College,Holy Innocents,Federal Way Memorial Field
Federal Way,Mirror Lake,Truman Campus,Sacajawea,Green R Coll - Auburn,Internet Academy,Admin
Chief Sealth,Northwest Montessori,Louisa Boren,David T. Denny Intl,South Seattle College,Bush,John Stanford Center
Roosevelt,Assumption,Thornton Creek,Nathan Eckstein,UW,Bush,Stadium/Athletic Office
Auburn,Dick Scobee,Phoenix Academy,Cascade,Green R Coll - Auburn,Internet Academy,Admin Center
Ballard,St. John,Salmon Bay,Billings,North Seattle College,Shoreline Christian,Stadium/Athletic Office
Decatur,Green Gables,Federal Way Public Academy,TAFA at Saghalie,Highline College,Christian Faith,Federal Way Memorial Field
Eastlake,Elizabeth Blackwell,Tesla STEM,Evergreen,Lake Washington IT,Bear Creek,Admin
Chief Sealth,Holy Family,Arts & Academics Academy,David T. Denny Intl,South Seattle College,Renton Christian,Highline Arts
Riverside,Gildo Rey,Open Doors,Mt. Baker,Green R Coll - Auburn,Muckleshoot Tribal,Auburn MOT
Blanchet,Daniel Bagley,Licton Springs,Robert Eagle Staff,North Seattle College,Shoreline Christian,Stadium/Athletic Office
Thomas Jefferson,Star Lake,Open Doors,Totem,Highline College,Holy Innocents,Federal Way Memorial Field
Lindbergh,Ridgewood,Renton Academy,Northwood,Renton Tech,Renton Christian,Maint
Mount Si ,Opstad,Two Rivers,Twin Falls,Renton Tech,Bear Creek,Camp Waskowitz
