nearest_hoods,dist_hoods
Kingsgate Neighborhood,10.080943691400197
Eastgate Neighborhood,4.190909115852714
Newport Hills Neighborhood,1.4924310254001616
Seward Park Neighborhood,1.8670287077141983
North Creek Neighborhood,1.4540633093221618
Fairwood Neighborhood,1.2856084534273193
White Center Neighborhood,1.386867905278543
Bitter Lake Neighborhood,3.371502073647754
White Center Neighborhood,0.8062064413885975
Eastgate Neighborhood,2.70980469950831
North Creek Neighborhood,12.828401807998896
Central District,4.000301840035042
Newport Hills Neighborhood,1.8303799772804872
Finn Hill Neighborhood,1.0533123783019211
Eastgate Neighborhood,1.8265947256872206
Eastgate Neighborhood,0.6110941846881174
Columbia City Neighborhood,0.4889193281020762
Fairwood Neighborhood,0.7082711644456263
Central District,0.9513089174390561
"Covington, Timberlane Neighborhood",13.105957291615256
Crown Hill Neighborhood,0.42454933347198
"Covington, Timberlane Neighborhood",17.53710220060845
"Covington, Timberlane Neighborhood",3.9743083203255076
Alki Neighborhood,0.43530046800976774
Wallingford Neighborhood,0.47956738241908103
Kent East Hill Neighborhood,3.9412431765400417
Fairwood Neighborhood,1.9964491052802835
"Covington, Timberlane Neighborhood",4.828096022141884
Kent East Hill Neighborhood,2.230963181324142
Twin Lakes Neighborhood,6.586295600183833
North Creek Neighborhood,3.847025066680729
Finn Hill Neighborhood,1.9761351079258012
Bryn Mawr Neighborhood,0.3584446830736043
Kingsgate Neighborhood,2.125540962995787
Eastgate Neighborhood,8.892578848496456
Bitter Lake Neighborhood,1.8217817257021949
Kingsgate Neighborhood,8.997849476680477
Eastgate Neighborhood,8.990305880457184
Green Lake Neighborhood,0.8103666284319636
Newport Hills Neighborhood,1.5609265005017978
Newport Hills Neighborhood,1.6344368413502235
Fairwood Neighborhood,0.8969993216550458
Capitol Hill Neighborhood,0.8098763667613862
"Covington, Timberlane Neighborhood",2.877662324968856
White Center Neighborhood,4.407968481095662
Sand Point Neighborhood,3.5318877531579984
Kingsgate Neighborhood,1.2256573019337307
Fairwood Neighborhood,1.287106118167013
Kent East Hill Neighborhood,2.1486471007663015
Kingsgate Neighborhood,2.378532389814447
Wallingford Neighborhood,0.23102314583632008
Fairwood Neighborhood,2.1979579197862225
North Creek Neighborhood,2.308905223463171
Newport Hills Neighborhood,0.955281479876326
Eastgate Neighborhood,6.088499800566586
Kingsgate Neighborhood,4.187216874711501
Green Lake Neighborhood,0.3876598803429211
White Center Neighborhood,1.598801312569363
Twin Lakes Neighborhood,7.455227885838565
Kent East Hill Neighborhood,3.8748401875351903
Wedgewood Neighborhood,0.8363415468454937
"Covington, Timberlane Neighborhood",7.851479902966052
Kent East Hill Neighborhood,4.149517300928798
North Creek Neighborhood,4.511247116196234
Eastgate Neighborhood,3.3200380646131666
Kingsgate Neighborhood,0.3571946495674407
Finn Hill Neighborhood,0.9707330895822345
Finn Hill Neighborhood,3.2542420091287325
Finn Hill Neighborhood,1.480888003840299
North Creek Neighborhood,1.8788761791499367
"Covington, Timberlane Neighborhood",3.682100777660167
Eastgate Neighborhood,1.0190620294467274
Newport Hills Neighborhood,1.9450083493892096
Finn Hill Neighborhood,2.2922960167582227
Kingsgate Neighborhood,0.9156644853475674
Twin Lakes Neighborhood,5.230473832043849
Skyway Neighborhood,0.5755808478246454
"Covington, Timberlane Neighborhood",1.0331203212781077
Eastgate Neighborhood,1.1912463289804343
"Covington, Timberlane Neighborhood",1.4784437061969167
Kent East Hill Neighborhood,2.0786401408869706
Twin Lakes Neighborhood,1.4731294822435217
Bitter Lake Neighborhood,2.6587715368317535
Eastgate Neighborhood,11.939850463217722
Bitter Lake Neighborhood,0.556423478801706
"Covington, Timberlane Neighborhood",0.8292391898965467
White Center Neighborhood,2.7585434147235897
"Covington, Timberlane Neighborhood",3.218836151749981
Skyway Neighborhood,1.3286831328190554
Eastgate Neighborhood,5.346461246714394
Lake City Neighborhood,0.6798263948032381
Eastgate Neighborhood,5.263842498725927
Eastgate Neighborhood,3.805898244888114
Eastgate Neighborhood,6.971861371337834
Columbia City Neighborhood,0.6993472692054926
Maple Leaf Neighborhood,1.0695321629247674
Morgan Junction Neighborhood,0.4239017679816995
Sand Point Neighborhood,3.696770515024705
Eastgate Neighborhood,0.5748910551637744
Kent East Hill Neighborhood,2.173191107233958
Eastgate Neighborhood,4.316188586301352
Morgan Junction Neighborhood,1.2130745022673444
Eastgate Neighborhood,6.954704468457399
Twin Lakes Neighborhood,0.8612308917290279
Eastgate Neighborhood,1.6665562418483832
Rainier Beach Neighborhood,0.5891393971295689
Eastgate Neighborhood,7.787757146464386
Eastgate Neighborhood,2.8545119774850707
Kingsgate Neighborhood,4.121762574904674
Renton Highlands Neighborhood,2.0298811646280708
"Covington, Timberlane Neighborhood",1.8551691971487085
Finn Hill Neighborhood,1.4930877381294472
Finn Hill Neighborhood,0.8345138267136587
Central District,0.07222508943774478
Admiral Neighborhood,0.16759885212652362
Kent East Hill Neighborhood,3.9241065593470563
Admiral Neighborhood,0.44510196349615794
Eastgate Neighborhood,12.53255661069195
Eastgate Neighborhood,13.123266647062323
Crown Hill Neighborhood,0.7650984617173772
"Covington, Timberlane Neighborhood",2.1323937604460714
Sand Point Neighborhood,2.7321452209525794
Fairwood Neighborhood,1.7575773991410557
Skyway Neighborhood,3.591531008165291
Ballard Neighborhood,1.1257516745784224
Morgan Junction Neighborhood,0.717100933854412
Fremont Neighborhood,1.1202664479924442
Sand Point Neighborhood,3.1477767567524793
Kingsgate Neighborhood,3.1371967820715883
Renton Highlands Neighborhood,2.089862285387301
Eastgate Neighborhood,7.920382707472016
Bitter Lake Neighborhood,0.8618228856782144
Admiral Neighborhood,0.339931817521738
Bitter Lake Neighborhood,1.621979686111472
Kent East Hill Neighborhood,1.2561296242213056
Kingsgate Neighborhood,3.999198324837976
Central District,1.7459668636377306
Fairwood Neighborhood,3.723456737702313
Fairwood Neighborhood,1.1569687055648874
Bryn Mawr Neighborhood,0.18275246443960286
Bitter Lake Neighborhood,2.2703497903577103
Skyway Neighborhood,1.9395365765721362
White Center Neighborhood,0.9362949218882725
Eastgate Neighborhood,4.003494056173974
Kingsgate Neighborhood,7.173657103780544
Eastgate Neighborhood,9.406094020914441
Lake City Neighborhood,0.9588818395302319
Kingsgate Neighborhood,5.06061167965974
"Covington, Timberlane Neighborhood",2.4157837639617736
Kent East Hill Neighborhood,6.0617045165351175
Eastgate Neighborhood,3.45784783104114
Kent East Hill Neighborhood,5.922861271180452
"Covington, Timberlane Neighborhood",5.2162304038047225
Fairwood Neighborhood,1.1461510528261083
Kingsgate Neighborhood,1.078007161996968
Wallingford Neighborhood,0.5692185952324147
Kent East Hill Neighborhood,2.2125154689067634
Fairwood Neighborhood,2.3875440730532875
White Center Neighborhood,6.946256288231633
Renton Highlands Neighborhood,0.36413957197759794
Kent East Hill Neighborhood,3.6990490696006493
Eastgate Neighborhood,6.212079539726122
Kent East Hill Neighborhood,2.014926090258695
Kingsgate Neighborhood,2.2219626681732554
Eastgate Neighborhood,1.4971121986990987
White Center Neighborhood,0.30618224946216244
Fairwood Neighborhood,0.5119355812862895
Rainier Beach Neighborhood,2.4111779320897493
Mount Baker Neighborhood,2.124035780205138
Magnolia Neighborhood,0.6071720254917299
Lake City Neighborhood,2.1032309433788905
Bryn Mawr Neighborhood,2.193280755288486
Finn Hill Neighborhood,1.5279130743973097
Renton Highlands Neighborhood,2.980169162388386
Seward Park Neighborhood,1.9399190817864318
Skyway Neighborhood,4.587723415833553
Eastgate Neighborhood,4.664414881965558
"Covington, Timberlane Neighborhood",1.5535683406093437
Eastgate Neighborhood,14.327875106319212
"Covington, Timberlane Neighborhood",4.487906107426698
Greenwood Neighborhood,0.2528073014026144
Eastgate Neighborhood,6.404995740583761
Eastgate Neighborhood,1.398537946586909
Kingsgate Neighborhood,7.349184783292916
Rainier Beach Neighborhood,1.3648504134421262
Wedgewood Neighborhood,0.6097655554343678
Fremont Neighborhood,0.8419822532347124
Kingsgate Neighborhood,14.453022642175341
"Covington, Timberlane Neighborhood",4.328129089421472
Eastgate Neighborhood,7.968819788734338
Georgetown Neighborhood,0.2848123961790581
Central District,0.41880555955272075
Fairwood Neighborhood,0.35595393416195387
"Covington, Timberlane Neighborhood",6.443079158839923
Kent East Hill Neighborhood,1.491049592764472
Kingsgate Neighborhood,6.894606968932142
North Creek Neighborhood,2.5171013808586835
Twin Lakes Neighborhood,1.1957617361377206
Eastgate Neighborhood,13.2992811779234
Twin Lakes Neighborhood,4.3284701609735805
Alki Neighborhood,0.4300059742813767
Kingsgate Neighborhood,0.3823161123588588
Kent East Hill Neighborhood,2.396687652347849
"Covington, Timberlane Neighborhood",18.381932793665193
International District,0.9178015972862238
Eastgate Neighborhood,5.6878625132622895
"Covington, Timberlane Neighborhood",2.43371589603932
Mount Baker Neighborhood,0.4225395632966145
Eastgate Neighborhood,8.63395453763903
"Covington, Timberlane Neighborhood",13.786676867132007
Fairwood Neighborhood,1.5981917293697876
"Covington, Timberlane Neighborhood",4.273270636122916
Skyway Neighborhood,0.7420470933128582
South Park Neighborhood,2.3972998023106546
Morgan Junction Neighborhood,0.7391908241189106
Eastgate Neighborhood,17.792252683689874
Twin Lakes Neighborhood,3.2183669036904625
Newport Hills Neighborhood,1.7115035637059508
Kingsgate Neighborhood,7.030843160751417
"Covington, Timberlane Neighborhood",3.1293396269014337
"Covington, Timberlane Neighborhood",6.107275865101229
Kingsgate Neighborhood,3.45191202090856
Eastgate Neighborhood,5.761504718230724
Skyway Neighborhood,4.948497093129808
Wallingford Neighborhood,0.32369322594600947
North Beach Neighborhood,0.822568175781868
"Covington, Timberlane Neighborhood",1.245138753244165
Finn Hill Neighborhood,1.4486029591479546
Greenwood Neighborhood,0.5188084826847785
Magnolia Neighborhood,0.3234705892250293
Eastgate Neighborhood,6.5319477657907035
Eastgate Neighborhood,6.2773228157007654
Kent East Hill Neighborhood,1.7511133550535447
Lake City Neighborhood,0.6746030120285457
Kingsgate Neighborhood,4.353762989100868
Eastgate Neighborhood,5.725292989482081
"Covington, Timberlane Neighborhood",16.901108818802307
Kent East Hill Neighborhood,4.213127692844288
Kent East Hill Neighborhood,2.505945569752815
West Seattle Neighborhood,0.45855331722980475
Kent East Hill Neighborhood,5.889417120233552
Crown Hill Neighborhood,0.635331995231587
Northgate Neighborhood,0.44924068648969256
Skyway Neighborhood,0.42037401067212293
Mount Baker Neighborhood,0.79467032367294
Sand Point Neighborhood,0.4340124113360263
Ballard Neighborhood,0.857369125191295
"Covington, Timberlane Neighborhood",0.8614784896102526
"Covington, Timberlane Neighborhood",12.318582601715274
Magnolia Neighborhood,1.0183357862085871
Newport Hills Neighborhood,0.8526730087206466
Finn Hill Neighborhood,2.878868964658079
Wallingford Neighborhood,0.49430566655551134
Kingsgate Neighborhood,3.136796880653351
Kent East Hill Neighborhood,3.5402943288251914
Skyway Neighborhood,3.3187536160111186
Twin Lakes Neighborhood,5.063868538454203
Admiral Neighborhood,0.1726632272000875
Morgan Junction Neighborhood,0.3931000527838241
Kent East Hill Neighborhood,4.031521950672182
Finn Hill Neighborhood,3.1592365141976493
Alki Neighborhood,0.44353474141794214
Eastgate Neighborhood,13.76526776301155
"Covington, Timberlane Neighborhood",2.727666512926466
Morgan Junction Neighborhood,0.7794599188403925
University District,0.6050351450286934
Kent East Hill Neighborhood,5.453677257008894
White Center Neighborhood,0.9143445313891723
White Center Neighborhood,2.655655318405292
North Creek Neighborhood,4.68078954944485
Rainier Beach Neighborhood,0.3341098698219036
