X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,SCH_CLASS,DISTRICT,PIN,MAJOR,MINOR,FEATUREDES,OSPI_CODE
-122.175401091577442,47.32499841553458,183,54,24,School-Elementary,Lea Hill Elementary School,Lea Hill,30908 124th Ave SE,98092,-122.17540428,47.3249963,10,AUBURN,0921059005,092105,9005,School-Elementary,3525
-122.298832899494002,47.319291290496814,184,77,2378,School-Alternative,Truman High School Campus,Truman Campus,31455 28th Ave S,98003,-122.29883613,47.31928944,10,FEDERAL WAY,0921049054,092104,9054,School-Alternative,5163
-122.299735335036544,47.319260671839231,185,6600144,979437,School-K-12,Internet Academy,Internet Academy,31457 28th Ave S,98003,-122.29973856,47.31925882,10,FEDERAL WAY,0921049054,092104,9054,School-K-12,1759
-122.292951629578042,47.621898188039928,186,6600720,442094,School-Elementary,The Valley School,Valley,318 30th Ave E,98112,-122.29295331,47.62189632,20,SEATTLE,9209900590,920990,0590,School-Elementary,
-122.033910032102,47.580921841474421,187,362,12223,School-Junior High/Middle,Pine Lake Middle School,Pine Lake,3200 228th Ave SE,98075,-122.03391177,47.58091944,10,ISSAQUAH,1024069010,102406,9010,School-Junior High/Middle,3879
-122.06703750691436,47.638732737538334,188,6600175,374731,School-Elementary,Elizabeth Blackwell Elementary School,Elizabeth Blackwell,3225 205th Pl NE,98074,-122.06703899,47.63873045,10,LAKE WASHINGTON,8651590010,865159,0010,School-Elementary,4532
-121.907974686384819,47.652343077426522,189,6600696,1008913,School-Alternative,Riverview Learning Center,Riverview,32302 NE 50th St,98014,-121.90797596,47.6523406,10,RIVERVIEW,1625079060,162507,9060,School-Alternative,
-122.393907887607725,47.3092098332788,190,2332,2383,School-Elementary,Green Gables Elementary School,Green Gables,32607 47th Ave SW,98023,-122.39391117,47.30920817,10,FEDERAL WAY,1421039084,142103,9084,School-Elementary,4426
-121.78207972389886,47.496156461990374,191,6600627,26502,School-Alternative,Two Rivers School,Two Rivers,330 Ballarat Ave N,98045,-121.78208144,47.49615375,10,SNOQUALMIE VALLEY,8570900300,857090,0300,School-Alternative,1502
-122.290578825219939,47.573241964223811,192,1178,458345,School-Elementary,John Muir Elementary School-Seattle,John Muir,3301 S Horton St,98144,-122.29058072,47.57324008,10,SEATTLE,1524049002,152404,9002,School-Elementary,2143
-122.292006778105318,47.671515451439859,193,869,349397,School-Elementary,William Cullen Bryant Elementary School,WC Bryant ,3311 NE 60th St,98115,-122.29200824,47.67151359,10,SEATTLE,8827900180,882790,0180,School-Elementary,0
-122.157173074113288,47.280657644136049,194,32,54,School-Elementary,Buena Vista Seventh-day Adventist School,Buena Vista SDA,3320 Academy Dr SE,98092,-122.15717651,47.28065549,20,AUBURN,2721059033,272105,9033,School-Elementary,0
-121.896113799518702,47.569552060417784,195,333,2357,School-Elementary,Fall City Elementary School,Fall City ,33314 SE 42nd St,98024,-121.89611543,47.56954948,10,SNOQUALMIE VALLEY,0943100020,094310,0020,School-Elementary,2222
